quote_id,customer_id,product_id,channel_id,agent_id,quote_date,quoted_annual_premium,competitor_price_index,quote_status,converted_policy_id
QUO_0000000001,CUST_00000001,PROD_AUTO_STANDARD,CH_EMAIL,,2022-06-07,678.6,0.8866,SENT,
QUO_0000000002,CUST_00000002,PROD_LIFE_PREMIUM,CH_MOBILE,,2023-04-09,736.68,0.9863,DECLINED,
QUO_0000000003,CUST_00000003,PROD_LIFE_BASIC,CH_MOBILE,,2025-12-29,268.86,0.994,DECLINED,
QUO_0000000004,CUST_00000004,PROD_PET_STANDARD,CH_BRANCH,,2022-05-21,361.99,0.8463,EXPIRED,
QUO_0000000005,CUST_00000005,PROD_AUTO_BASIC,CH_EMAIL,,2024-03-26,473.18,0.8069,SENT,
QUO_0000000006,CUST_00000006,PROD_HOME_STANDARD,CH_MOBILE,,2025-08-26,482.28,0.996,ACCEPTED,
QUO_0000000007,CUST_00000007,PROD_LIFE_BASIC,CH_EMAIL,,2026-04-05,269.26,1.134,DECLINED,
QUO_0000000008,CUST_00000008,PROD_AUTO_STANDARD,CH_MOBILE,,2024-07-20,866.55,1.0446,ACCEPTED,
QUO_0000000009,CUST_00000014,PROD_HEALTH_BASIC,CH_MOBILE,,2026-01-07,715.58,1.0375,EXPIRED,
QUO_0000000010,CUST_00000016,PROD_PET_STANDARD,CH_MOBILE,,2022-08-20,357.06,0.914,ACCEPTED,
QUO_0000000011,CUST_00000021,PROD_HEALTH_PREMIUM,CH_EMAIL,,2024-10-28,1468.96,0.8628,SENT,
QUO_0000000012,CUST_00000022,PROD_LIFE_STANDARD,CH_EMAIL,,2023-09-14,416.47,0.8035,EXPIRED,
QUO_0000000013,CUST_00000023,PROD_AUTO_STANDARD,CH_EMAIL,,2026-03-12,735.71,0.7914,DECLINED,
QUO_0000000014,CUST_00000024,PROD_PET_STANDARD,CH_MOBILE,,2022-03-25,383.25,1.0595,ACCEPTED,
QUO_0000000015,CUST_00000025,PROD_HOME_STANDARD,CH_MOBILE,,2025-03-11,566.24,0.865,SENT,
QUO_0000000016,CUST_00000026,PROD_HEALTH_BASIC,CH_MOBILE,,2024-09-03,598.09,0.9691,SENT,
QUO_0000000017,CUST_00000027,PROD_HEALTH_PREMIUM,CH_EMAIL,,2024-04-28,1690.78,0.9059,SENT,
QUO_0000000018,CUST_00000028,PROD_PET_STANDARD,CH_MOBILE,,2025-04-09,331.22,1.067,ACCEPTED,
QUO_0000000019,CUST_00000030,PROD_LIFE_BASIC,CH_MOBILE,,2025-04-05,256.79,1.1564,DECLINED,
QUO_0000000020,CUST_00000032,PROD_HEALTH_PREMIUM,CH_MOBILE,,2026-01-14,1336.0,0.9443,EXPIRED,
QUO_0000000021,CUST_00000033,PROD_HOME_PREMIUM,CH_EMAIL,,2026-02-08,830.2,0.8253,SENT,
QUO_0000000022,CUST_00000034,PROD_AUTO_STANDARD,CH_MOBILE,,2025-05-31,760.08,1.0932,ACCEPTED,
QUO_0000000023,CUST_00000037,PROD_HEALTH_BASIC,CH_MOBILE,,2026-05-12,794.06,1.0095,DECLINED,
QUO_0000000024,CUST_00000038,PROD_HEALTH_PREMIUM,CH_EMAIL,,2026-04-12,1599.04,0.9506,ACCEPTED,
